../jeu_100_25_4.txt_5_best	../jeu_100_25_4.txt_5_current	
0	 -225.8	 -225.8
1	 -164.92	 -188.6
2	 -157.936	 -200.6
3	 -131.562	 -189.8
4	 -130.449	 -174
5	 -130.449	 -191
6	 -130.449	 -244.4
7	 -124.759	 -225.2
8	 -109.656	 -161.6
9	 -109.656	 -195.6
10	 -106.925	 -191.4
11	 -106.925	 -207
12	 -106.925	 -214.8
13	 -106.925	 -223.2
14	 -93.3547	 -130.6
15	 -93.3547	 -187.6
16	 -93.2838	 -178.2
17	 -93.2838	 -239.4
18	 -93.2838	 -203.2
19	 -87.1703	 -163.6
20	 -75.1362	 -163.8
21	 -75.1362	 -141.6
22	 -75.1362	 -194.4
23	 -75.1362	 -162.8
24	 -75.1362	 -172.4
25	 -75.1362	 -183.4
26	 -74.8817	 -136.4
27	 -74.7054	 -158.4
28	 -74.7054	 -155.2
29	 -74.7054	 -159
30	 -74.7054	 -131.2
31	 -74.7054	 -198.6
32	 -74.7054	 -163.6
33	 -74.7054	 -165.2
34	 -74.7054	 -204.8
35	 -74.7054	 -160
36	 -74.7054	 -180.4
37	 -74.7054	 -132.2
38	 -74.7054	 -237.4
39	 -74.7054	 -186.2
40	 -68.7643	 -153
41	 -68.7643	 -219.4
42	 -68.7643	 -151
43	 -68.7643	 -229.4
44	 -68.7643	 -167.8
45	 -61.4114	 -178.4
46	 -59.5292	 -167
47	 -59.5292	 -212.6
48	 -55.4233	 -144.6
49	 -55.4233	 -154
50	 -55.4233	 -183.8
51	 -55.4233	 -216
52	 -55.4233	 -179
53	 -55.4233	 -193.6
54	 -55.4233	 -147.8
55	 -55.4233	 -208.4
56	 -55.4233	 -216
57	 -55.4233	 -191.8
58	 -55.4233	 -207.2
59	 -51.3387	 -165.6
60	 -51.3387	 -227.4
61	 -51.3387	 -184
62	 -51.3387	 -241.4
63	 -51.3387	 -182.8
64	 -51.3387	 -146.4
65	 -51.3387	 -203.4
66	 -51.3387	 -185.2
67	 -47.0709	 -151
68	 -47.0709	 -158.2
69	 -47.0709	 -210.8
70	 -47.0709	 -161.4
71	 -47.0709	 -132.8
72	 -47.0709	 -154
73	 -47.0709	 -175.6
74	 -47.0709	 -228.8
75	 -47.0709	 -239.4
76	 -47.0709	 -192
77	 -47.0709	 -132.4
78	 -47.0709	 -195.6
79	 -47.0709	 -154.8
80	 -47.0567	 -134.8
81	 -47.0567	 -189.8
82	 -47.0567	 -163.6
83	 -47.0567	 -193.6
84	 -47.0567	 -222.2
85	 -47.0567	 -166.4
86	 -46.6454	 -125.6
87	 -46.6454	 -193.8
88	 -46.6454	 -147.8
89	 -46.6454	 -186
90	 -46.6454	 -141.2
91	 -46.6454	 -157.6
92	 -46.6454	 -152.8
93	 -46.6454	 -243
94	 -46.6454	 -174.8
95	 -46.6454	 -150
96	 -46.6454	 -161.4
97	 -46.6454	 -172
98	 -46.6454	 -172
99	 -46.6454	 -274
100	 -46.6454	 -150.6
101	 -46.6454	 -194
102	 -46.6454	 -205.8
103	 -46.6454	 -175.8
104	 -46.6454	 -135
105	 -46.6454	 -206.2
106	 -46.6454	 -165
107	 -46.6454	 -155.2
108	 -46.6454	 -134.6
109	 -43.7163	 -121.2
110	 -43.7163	 -171.8
111	 -43.7163	 -171
112	 -43.7163	 -239.8
113	 -43.7163	 -188.6
114	 -43.7163	 -145.8
115	 -43.7163	 -173.2
116	 -43.7163	 -237.2
117	 -43.7163	 -216.8
118	 -43.7163	 -131.8
119	 -43.7163	 -156.4
120	 -43.7163	 -212.6
121	 -43.7163	 -154.6
122	 -43.7163	 -208
123	 -43.7163	 -168.4
124	 -43.7163	 -148.4
125	 -35.7731	 -110.6
126	 -35.7731	 -228.8
127	 -35.7731	 -305.2
128	 -35.7731	 -154.2
129	 -35.7731	 -226.2
130	 -35.7731	 -189.8
131	 -35.7731	 -167
132	 -35.7731	 -166.4
133	 -35.7731	 -184.4
134	 -35.7731	 -189
135	 -35.7731	 -130.4
136	 -35.7731	 -207
137	 -35.7731	 -184.2
138	 -35.7731	 -166.6
139	 -35.7731	 -155
140	 -35.7731	 -166.2
141	 -35.7731	 -226.4
142	 -35.7731	 -263.2
143	 -35.7731	 -172.6
144	 -35.7731	 -206.6
145	 -35.7731	 -176.2
146	 -35.7731	 -224
147	 -35.7731	 -169.4
148	 -35.7731	 -158.4
149	 -35.7731	 -186.2
150	 -35.7731	 -132.2
151	 -35.7731	 -196.8
152	 -35.7731	 -166.8
153	 -35.7731	 -188
154	 -35.7731	 -206.2
155	 -35.7731	 -145.8
156	 -35.7731	 -184.2
157	 -35.7731	 -184.4
158	 -35.7731	 -176.2
159	 -35.7731	 -193.4
160	 -35.7731	 -287.6
161	 -35.7731	 -203
162	 -35.7731	 -182.6
163	 -35.7731	 -191.8
164	 -35.7731	 -154.8
165	 -35.7731	 -147.6
166	 -35.7731	 -242.8
167	 -35.7731	 -163.8
168	 -35.7731	 -189.2
169	 -35.7731	 -195.4
170	 -35.7731	 -164.2
171	 -35.7731	 -148.8
172	 -35.7731	 -232.8
173	 -35.7731	 -248
174	 -35.7731	 -135.2
175	 -35.7731	 -136.8
176	 -35.7731	 -206.6
177	 -35.7731	 -218
178	 -35.7731	 -162.8
179	 -35.7731	 -227.2
180	 -35.7731	 -185.2
181	 -35.7731	 -187.6
182	 -35.7731	 -149.6
183	 -35.7731	 -113.8
184	 -35.7731	 -209.4
185	 -35.7731	 -164
186	 -35.7731	 -219.4
187	 -35.7731	 -215.2
188	 -35.7731	 -137
189	 -35.7731	 -177.4
190	 -35.7731	 -204.8
191	 -35.7731	 -250.6
192	 -35.7731	 -210
193	 -35.7731	 -187.6
194	 -35.7731	 -214.8
195	 -35.7731	 -168
196	 -35.7731	 -211.8
197	 -35.7731	 -163
198	 -35.7731	 -199.2
199	 -35.7731	 -158.6
200	 -35.7731	 -112.8
201	 -35.7731	 -152.2
202	 -35.7731	 -198.6
203	 -35.7731	 -218.8
204	 -35.7731	 -185.4
205	 -35.7731	 -160.6
206	 -35.7731	 -281.2
207	 -35.7731	 -221.2
208	 -35.7731	 -132.4
209	 -35.7731	 -156.6
210	 -35.7731	 -238.8
211	 -35.7731	 -176.4
212	 -35.7731	 -211
213	 -35.7731	 -179.6
214	 -35.7731	 -159.8
215	 -35.7731	 -185.6
216	 -35.7731	 -172.8
217	 -35.7731	 -157.8
218	 -35.7731	 -183.6
219	 -35.7731	 -141
220	 -35.7731	 -206.2
221	 -35.7731	 -160.6
222	 -35.7731	 -198.8
223	 -35.7731	 -195
224	 -35.7731	 -267.4
225	 -35.7731	 -198.2
226	 -35.7731	 -123.2
227	 -35.7731	 -204.6
228	 -35.7731	 -209.4
229	 -35.7731	 -160.2
230	 -35.7731	 -156.2
231	 -35.7731	 -205.4
232	 -35.7731	 -142.6
233	 -35.7731	 -178.6
234	 -35.7731	 -161.8
235	 -35.7731	 -237.2
236	 -35.7731	 -165.4
237	 -35.7731	 -224.8
238	 -32.6184	 -157
239	 -32.6184	 -144
240	 -32.6184	 -206
241	 -31.8948	 -109.8
242	 -31.8948	 -259.4
243	 -31.8948	 -221.4
244	 -31.8948	 -195.8
245	 -31.8948	 -178.4
246	 -31.8948	 -149.6
247	 -31.8948	 -157.8
248	 -31.8948	 -136.6
249	 -31.8948	 -200
250	 -31.8948	 -127.8
251	 -31.8948	 -189.6
252	 -31.8948	 -262.8
253	 -31.8948	 -129.4
254	 -31.8948	 -166.2
255	 -31.8948	 -204.8
256	 -31.8948	 -188
257	 -31.8948	 -168.6
258	 -31.8948	 -145.2
259	 -31.8948	 -195
260	 -31.8948	 -198.4
261	 -31.8948	 -183.6
262	 -31.8948	 -253
263	 -31.8948	 -182.2
264	 -31.8948	 -195.4
265	 -31.8948	 -202.8
266	 -31.8948	 -136.2
267	 -31.8948	 -273
268	 -31.8948	 -165.8
269	 -31.8948	 -214.4
270	 -31.8948	 -259.6
271	 -31.8948	 -124
272	 -31.8948	 -187.4
273	 -31.8948	 -178.2
274	 -31.8948	 -220.2
275	 -31.8948	 -169
276	 -31.8948	 -151.8
277	 -31.8948	 -168.4
278	 -31.8948	 -151
279	 -31.8948	 -183.2
280	 -31.8948	 -211.2
281	 -31.8948	 -150.2
282	 -31.8948	 -162.8
283	 -31.8948	 -189.2
284	 -31.8948	 -253.4
285	 -31.8948	 -212.6
286	 -31.8948	 -153.2
287	 -31.8948	 -173.4
288	 -31.8948	 -140
289	 -31.8948	 -169.4
290	 -31.8948	 -148
291	 -31.8948	 -184
292	 -31.8948	 -227.8
293	 -31.8948	 -209.6
294	 -31.8948	 -188.8
295	 -31.8948	 -175
296	 -31.8948	 -180.2
297	 -31.8948	 -157.6
298	 -31.8948	 -155.8
299	 -31.8948	 -218
300	 -31.8948	 -162.8
301	 -31.8948	 -141
302	 -31.8948	 -149.4
303	 -31.8948	 -206.4
304	 -31.8948	 -111.6
305	 -31.8948	 -156.8
306	 -31.8948	 -236.6
307	 -31.8948	 -145
308	 -31.8948	 -166.2
309	 -31.8948	 -189.8
310	 -31.8948	 -162.2
311	 -31.8948	 -136.4
312	 -31.8948	 -215.2
313	 -31.8948	 -154.8
314	 -31.8948	 -151.2
315	 -31.8948	 -237.4
316	 -31.8948	 -165.8
317	 -31.8948	 -183.6
318	 -31.8948	 -196.8
319	 -31.8948	 -172.8
320	 -31.8948	 -179.8
321	 -31.8948	 -173.4
322	 -31.8948	 -202.4
323	 -31.8948	 -164
324	 -31.8948	 -175.2
325	 -31.8948	 -178.8
326	 -31.8948	 -161.6
327	 -31.8948	 -244.8
328	 -31.8948	 -190.4
329	 -29.1158	 -168.6
330	 -29.1158	 -261.4
331	 -29.1158	 -165.4
332	 -29.1158	 -150.6
333	 -29.1158	 -175.2
334	 -29.1158	 -186.6
335	 -29.1158	 -242.6
336	 -29.1158	 -225.2
337	 -29.1158	 -169.4
338	 -29.1158	 -187.8
339	 -29.1158	 -200.4
340	 -29.1158	 -219.6
341	 -29.1158	 -258.2
342	 -29.1158	 -159.6
343	 -29.1158	 -183
344	 -29.1158	 -219.6
345	 -29.1158	 -211.6
346	 -29.1158	 -226.2
347	 -29.1158	 -154.6
348	 -29.1158	 -170
349	 -29.1158	 -179.8
350	 -29.1158	 -134.8
351	 -29.1158	 -175.6
352	 -29.1158	 -197.6
353	 -29.1158	 -192.8
354	 -29.1158	 -207.8
355	 -29.1158	 -202
356	 -29.1158	 -176.2
357	 -29.1158	 -182.2
358	 -29.1158	 -170.2
359	 -29.1158	 -123.2
360	 -29.1158	 -233.6
361	 -29.1158	 -197.2
362	 -29.1158	 -138.2
363	 -29.1158	 -179
364	 -29.1158	 -181
365	 -29.1158	 -127.4
366	 -29.1158	 -222.8
367	 -29.1158	 -202.2
368	 -29.1158	 -205.8
369	 -29.1158	 -270
370	 -29.1158	 -130.2
371	 -29.1158	 -149.4
372	 -29.1158	 -146.8
373	 -29.1158	 -171.8
374	 -29.1158	 -185.8
375	 -29.1158	 -202.8
376	 -29.1158	 -178.6
377	 -26.6926	 -158.2
378	 -26.6926	 -179.6
379	 -26.6926	 -214
380	 -26.6926	 -169.4
381	 -26.6926	 -216.2
382	 -26.6926	 -161
383	 -26.6926	 -123.8
384	 -26.6926	 -141.6
385	 -26.6926	 -134.6
386	 -26.6926	 -160.2
387	 -26.6926	 -170.4
388	 -26.6926	 -215.6
389	 -26.6926	 -130
390	 -26.6926	 -172.4
391	 -26.6926	 -219.4
392	 -26.6926	 -196.4
393	 -26.6926	 -134.8
394	 -26.6926	 -228.2
395	 -26.6926	 -166.4
396	 -26.6926	 -279.4
397	 -26.6926	 -124
398	 -26.6926	 -166.6
399	 -26.6926	 -144.2
400	 -26.6926	 -208.6
401	 -26.6926	 -170.2
402	 -26.6926	 -170.4
403	 -26.6926	 -173.4
404	 -26.6926	 -170.2
405	 -26.6926	 -168.6
406	 -26.6926	 -141.6
407	 -26.6926	 -206.6
408	 -26.6926	 -208.2
409	 -26.6926	 -127.4
410	 -26.6926	 -162.6
411	 -26.6926	 -267.8
412	 -26.6926	 -199
413	 -26.6926	 -131.8
414	 -26.6926	 -212.6
415	 -26.6926	 -245.8
416	 -26.6926	 -235.8
417	 -26.6926	 -216.4
418	 -26.6926	 -210.2
419	 -26.6926	 -190.6
420	 -26.6926	 -209.2
421	 -26.6926	 -217.2
422	 -26.6926	 -199.8
423	 -26.6926	 -210.2
424	 -26.6926	 -245.2
425	 -26.6926	 -194.6
426	 -26.6926	 -151.2
427	 -26.6926	 -216.6
428	 -26.6926	 -145.2
429	 -26.6926	 -247
430	 -26.6926	 -205
431	 -26.6926	 -196.8
432	 -26.6926	 -156.8
433	 -26.6926	 -230.6
434	 -26.6926	 -171
435	 -26.6926	 -180.2
436	 -26.6926	 -149.4
437	 -26.6926	 -187.4
438	 -26.6926	 -199.4
439	 -26.6926	 -157.4
440	 -26.6926	 -188.8
441	 -26.6926	 -162
442	 -26.6926	 -221.4
443	 -26.6926	 -247.4
444	 -26.6926	 -244.2
445	 -26.6926	 -206.4
446	 -26.6926	 -159.8
447	 -26.6926	 -133.4
448	 -26.6926	 -148.4
449	 -26.6926	 -207.8
450	 -26.6926	 -245.6
451	 -26.6926	 -127.8
452	 -26.6926	 -193.6
453	 -26.6926	 -145.8
454	 -26.6926	 -175.6
455	 -26.6926	 -176.4
456	 -26.6926	 -157
457	 -26.6926	 -132.8
458	 -26.6926	 -202
459	 -26.6926	 -199.2
460	 -26.6926	 -123.8
461	 -26.6926	 -200.8
462	 -26.6926	 -177.6
463	 -26.6926	 -132
464	 -26.6926	 -177.2
465	 -24.9541	 -170.6
466	 -24.9541	 -140.8
467	 -24.9541	 -248.6
468	 -24.9541	 -207.6
469	 -24.9541	 -186.4
470	 -24.9541	 -260.6
471	 -24.9541	 -148.2
472	 -24.9541	 -161.6
473	 -24.9541	 -184.8
474	 -24.9541	 -183.4
475	 -24.9541	 -196.6
476	 -24.9541	 -149
477	 -24.9541	 -157.2
478	 -24.9541	 -190.2
479	 -24.9541	 -178.6
480	 -24.9541	 -206.8
481	 -24.9541	 -129.4
482	 -24.9541	 -218.2
483	 -24.9541	 -159.2
484	 -22.3633	 -126.2
485	 -22.3633	 -135
486	 -22.3633	 -194.8
487	 -22.3633	 -203.6
488	 -22.3633	 -177.4
489	 -22.3633	 -231.8
490	 -22.3633	 -209.6
491	 -22.3633	 -216.4
492	 -22.3633	 -189.6
493	 -22.3633	 -206.6
494	 -22.3633	 -253.4
495	 -22.3633	 -205.4
496	 -22.3633	 -154.2
497	 -22.3633	 -264.6
498	 -22.3633	 -225.2
499	 -22.3633	 -168.6
500	 -22.3633	 -169
501	 -22.3633	 -206
502	 -22.3633	 -123.6
503	 -22.3633	 -184.8
504	 -22.3633	 -167.6
505	 -22.3633	 -220
506	 -22.3633	 -221.2
507	 -22.3633	 -202.2
508	 -22.3633	 -194.6
509	 -22.3633	 -150
510	 -22.3633	 -169.8
511	 -22.3633	 -143
512	 -22.3633	 -192.6
513	 -22.3633	 -188.2
514	 -22.3633	 -176.4
515	 -22.3633	 -193
516	 -22.3633	 -262.8
517	 -22.3633	 -164.8
518	 -22.3633	 -176.4
519	 -22.3633	 -263.8
520	 -22.3633	 -219.4
521	 -22.3633	 -173.8
522	 -22.3633	 -270.4
523	 -22.3633	 -159.2
524	 -22.3633	 -199.6
525	 -22.3633	 -204.8
526	 -22.3633	 -174.8
527	 -22.3633	 -163.6
528	 -22.3633	 -150.8
529	 -22.3633	 -197.6
530	 -22.3633	 -197.6
531	 -22.3633	 -131.2
532	 -22.3633	 -176
533	 -22.3633	 -153.8
534	 -22.3633	 -218.8
535	 -22.3633	 -225.4
536	 -22.3633	 -144
537	 -22.3633	 -163.4
538	 -22.3633	 -121.4
539	 -22.3633	 -182.6
540	 -22.3633	 -160
541	 -22.3633	 -198
542	 -22.3633	 -213
543	 -22.3633	 -250
544	 -22.3633	 -212.8
545	 -22.3633	 -174.8
546	 -22.3633	 -206.4
547	 -22.3633	 -219.2
548	 -22.3633	 -225
549	 -22.3633	 -183.8
550	 -22.3633	 -187.6
551	 -22.3633	 -210
552	 -22.3633	 -146.8
553	 -22.3633	 -203.8
554	 -22.3633	 -151.2
555	 -22.3633	 -195.8
556	 -22.3633	 -171.6
557	 -22.3633	 -195.4
558	 -22.3633	 -257.8
559	 -22.3633	 -167.8
560	 -22.3633	 -135
561	 -22.3633	 -164.2
562	 -22.3633	 -221.4
563	 -22.3633	 -165
564	 -22.3633	 -184.4
565	 -22.3633	 -189.6
566	 -22.3633	 -171
567	 -22.3633	 -183.8
568	 -22.3633	 -147.8
569	 -22.3633	 -229.2
570	 -22.3633	 -215.2
571	 -22.3633	 -238.8
572	 -22.3633	 -154.2
573	 -22.3633	 -192.2
574	 -22.3633	 -197
575	 -22.3633	 -197.4
576	 -22.3633	 -189.8
577	 -22.3633	 -218.6
578	 -22.3633	 -143.8
579	 -22.3633	 -206
580	 -22.3633	 -206.8
581	 -22.3633	 -139.6
582	 -22.3633	 -214.8
583	 -22.3633	 -207
584	 -20.2906	 -140.6
585	 -20.2906	 -231.6
586	 -20.2906	 -207.4
587	 -20.2906	 -147.4
588	 -20.2906	 -210.4
589	 -20.2906	 -172.6
590	 -20.2906	 -245.2
591	 -20.2906	 -194.2
592	 -20.2906	 -225.6
593	 -20.2906	 -137.4
594	 -20.2906	 -186.4
595	 -20.2906	 -212.4
596	 -20.2906	 -228.2
597	 -20.2906	 -212.6
598	 -20.2906	 -224.4
599	 -20.2906	 -217.8
600	 -20.2906	 -175
601	 -20.2906	 -204.8
602	 -20.2906	 -111.4
603	 -20.2906	 -136.6
604	 -20.2906	 -230.2
605	 -20.2906	 -170.6
606	 -20.2906	 -152
607	 -20.2906	 -214.4
608	 -20.2906	 -187.6
609	 -20.2906	 -183.6
610	 -20.2906	 -135
611	 -20.2906	 -228.4
612	 -20.2906	 -188.8
613	 -20.2906	 -195.8
614	 -20.2906	 -185.4
615	 -20.2906	 -150
616	 -20.2906	 -155.8
617	 -20.2906	 -202.6
618	 -20.2906	 -192
619	 -20.2906	 -252.6
620	 -20.2906	 -223
621	 -20.2906	 -178.2
622	 -20.2906	 -170.4
623	 -20.2906	 -165.8
624	 -20.2906	 -177.2
625	 -20.2906	 -150.2
626	 -20.2906	 -184.4
627	 -20.2906	 -204.6
628	 -20.2906	 -201
629	 -20.2906	 -199
630	 -20.2906	 -205.8
631	 -20.2906	 -243.4
632	 -20.2906	 -209.4
633	 -20.2906	 -164
634	 -20.2906	 -141
635	 -20.2906	 -254.2
636	 -20.2906	 -272.2
637	 -20.2906	 -208.6
638	 -20.2906	 -209.8
639	 -20.2906	 -216.8
640	 -20.2906	 -195.2
641	 -20.2906	 -131.6
642	 -20.2906	 -109.2
643	 -20.2906	 -132.8
644	 -20.2906	 -196.4
645	 -20.2906	 -160.8
646	 -20.2906	 -230.8
647	 -20.2906	 -127.8
648	 -20.2906	 -192.6
649	 -20.2906	 -153.6
650	 -20.2906	 -209.8
651	 -20.2906	 -230
652	 -20.2906	 -203.4
653	 -20.2906	 -247.8
654	 -20.2906	 -173.6
655	 -20.2906	 -234.8
656	 -20.2906	 -174.8
657	 -20.2906	 -227
658	 -20.2906	 -232.2
659	 -20.2906	 -132.8
660	 -20.2906	 -160
661	 -20.2906	 -186
662	 -20.2906	 -210.2
663	 -20.2906	 -191.2
664	 -20.2906	 -119.8
665	 -20.2906	 -139.4
666	 -20.2906	 -146
667	 -20.2906	 -149.6
668	 -20.2906	 -215.6
669	 -20.2906	 -208.6
670	 -20.2906	 -126.6
671	 -20.2906	 -167.6
672	 -20.2906	 -303
673	 -20.2906	 -172.4
674	 -20.2906	 -138.4
675	 -20.2906	 -182.2
676	 -20.2906	 -211.4
677	 -20.2906	 -130.2
678	 -20.2906	 -218.2
679	 -20.2906	 -148.8
680	 -20.2906	 -152
681	 -20.2906	 -209.4
682	 -20.2906	 -129.4
683	 -20.2906	 -209.2
684	 -20.2906	 -163.6
685	 -20.2906	 -167.2
686	 -20.2906	 -156
687	 -20.2906	 -164.8
688	 -20.2906	 -151.2
689	 -20.2906	 -255
690	 -20.2906	 -187.4
691	 -20.2906	 -162.2
692	 -20.2906	 -192.2
693	 -20.2906	 -207
694	 -20.2906	 -167.8
695	 -20.2906	 -262.8
696	 -20.2906	 -161
697	 -20.2906	 -149.8
698	 -20.2906	 -171.6
699	 -20.2906	 -258.8
700	 -20.2906	 -193.6
701	 -20.2906	 -165.6
702	 -20.2906	 -218.8
703	 -20.2906	 -176.2
704	 -20.2906	 -156.6
705	 -20.2906	 -125.8
706	 -20.2906	 -196.2
707	 -20.2906	 -217.8
708	 -20.2906	 -148.2
709	 -20.2906	 -207.2
710	 -20.2906	 -237.4
711	 -20.2906	 -187
712	 -20.2906	 -167.6
713	 -20.2906	 -155.2
714	 -20.2906	 -186.6
715	 -20.2906	 -251.6
716	 -20.2906	 -156.2
717	 -20.2906	 -156.2
718	 -20.2906	 -153.8
719	 -20.2906	 -214.8
