jeu_200_75_5.txt_5_currentFirst	jeu_200_75_5.txt_5_bestFirst	jeu_200_75_5.txt_5_currentBest	jeu_200_75_5.txt_5_bestBest	
0	-205.24	-205.24	-357.24	-357.24	
1	-205.24	-205.24	-357.24	-357.24	
2	-285.24	-205.24	-197.24	-197.24	
3	-281.24	-205.24	-180.24	-180.24	
4	-277.24	-205.24	-163.24	-163.24	
5	-248.24	-205.24	-156.24	-156.24	
6	-236.24	-205.24	-152.24	-152.24	
7	-196.24	-196.24	-130.24	-130.24	
8	-177.24	-177.24	-126.24	-126.24	
9	-127.24	-127.24	-109.24	-109.24	
10	-120.24	-120.24	-96.24	-96.24	
11	-99.24	-99.24	-81.24	-81.24	
12	-97.24	-97.24	-73.24	-73.24	
13	-70.24	-70.24	-357.24	-73.24	
14	-60.24	-60.24	-224.24	-73.24	
15	-37.24	-37.24	-174.24	-73.24	
16	-36.24	-36.24	-124.24	-73.24	
17	-205.24	-36.24	-117.24	-73.24	
18	-80.24	-36.24	-86.24	-73.24	
19	-55.24	-36.24	-70.24	-70.24	
20	-40.24	-36.24	-41.24	-41.24	
21	-36.24	-36.24	-36.24	-36.24	
22	-26.24	-26.24	-33.24	-33.24	
23	-22.24	-22.24	-20.24	-20.24	
24	-12.24	-12.24	-18.24	-18.24	
25	-11.24	-11.24	-1.24	-1.24	
26	98273	98273	-0.24	-0.24	
27	98291	98291	102144	102144	
28	98393	98393	103875	103875	
29	99262	99262	105460	105460	
30	100412	100412	107010	107010	
31	100798	100798	108592	108592	
32	101741	101741	110269	110269	
33	102338	102338	111722	111722	
34	102394	102394	113065	113065	
35	102648	102648	114235	114235	
36	103682	103682	114925	114925	
37	103891	103891	115469	115469	
38	104374	104374	116830	116830	
39	104685	104685	116955	116955	
40	104906	104906	117387	117387	
41	105076	105076	117608	117608	
42	106057	106057	117700	117700	
43	106634	106634	118006	118006	
44	106720	106720	118121	118121	
45	106960	106960	118563	118563	
46	106962	106962	118812	118812	
47	107995	107995	118926	118926	
48	109570	109570	119131	119131	
49	109878	109878	119581	119581	
50	110779	110779	-357.24	119581	
51	111006	111006	-182.24	119581	
52	-205.24	111006	-176.24	119581	
53	-439.24	111006	-160.24	119581	
54	-395.24	111006	-152.24	119581	
55	-394.24	111006	-139.24	119581	
56	-371.24	111006	-137.24	119581	
57	-328.24	111006	-132.24	119581	
58	-289.24	111006	-120.24	119581	
59	-249.24	111006	-117.24	119581	
60	-220.24	111006	-84.24	119581	
61	-208.24	111006	-71.24	119581	
62	-204.24	111006	-67.24	119581	
63	-154.24	111006	-42.24	119581	
64	-128.24	111006	-39.24	119581	
65	-125.24	111006	-29.24	119581	
66	-118.24	111006	-19.24	119581	
67	-96.24	111006	-17.24	119581	
68	-55.24	111006	-13.24	119581	
69	-52.24	111006	96374	119581	
70	-25.24	111006	98232	119581	
71	-10.24	111006	100029	119581	
72	88638	111006	101630	119581	
73	88808	111006	103198	119581	
74	88975	111006	104710	119581	
75	89793	111006	106206	119581	
76	90184	111006	107531	119581	
77	90296	111006	108897	119581	
78	91256	111006	110295	119581	
79	91702	111006	111680	119581	
80	92946	111006	113073	119581	
81	93122	111006	114512	119581	
82	93858	111006	115990	119581	
83	94248	111006	117378	119581	
84	94326	111006	117580	119581	
85	94619	111006	117580	119581	
86	94706	111006	117580	119581	
87	94912	111006	117580	119581	
88	94966	111006	117580	119581	
89	95110	111006	117580	119581	
90	95965	111006	117580	119581	
91	96970	111006	117580	119581	
92	97330	111006	117580	119581	
93	97915	111006	117580	119581	
94	97957	111006	117580	119581	
95	99150	111006	117580	119581	
96	99531	111006	117580	119581	
97	100883	111006	117580	119581	
98	101651	111006	117580	119581	
99	102910	111006	117580	119581	
100	102922	111006	117580	119581	
101	103156	111006	117580	119581	
102	104112	111006	117580	119581	
103	104470	111006	117580	119581	
104	104559	111006	117580	119581	
105	104690	111006	117580	119581	
106	106289	111006	117580	119581	
107	106292	111006	117580	119581	
108	107332	111006	117580	119581	
109	108289	111006	117580	119581	
110	109455	111006	117580	119581	
111	110979	111006	117580	119581	
112	112270	112270	117580	119581	
113	113432	113432	117580	119581	
114	-205.24	113432	117580	119581	
115	-181.24	113432	117580	119581	
116	-144.24	113432	117580	119581	
117	-125.24	113432	117580	119581	
118	-110.24	113432	117580	119581	
119	-84.24	113432	117580	119581	
120	-83.24	113432	117580	119581	
121	-72.24	113432	117580	119581	
122	-65.24	113432	117580	119581	
123	-22.24	113432	117580	119581	
124	-15.24	113432	117580	119581	
125	93292	113432	117580	119581	
126	93753	113432	117580	119581	
127	93820	113432	117580	119581	
128	93910	113432	117580	119581	
129	94073	113432	117580	119581	
130	94247	113432	117580	119581	
131	94607	113432	117580	119581	
132	94726	113432	117580	119581	
133	96228	113432	117580	119581	
134	97061	113432	117580	119581	
135	97318	113432	117580	119581	
136	97525	113432	117580	119581	
137	98470	113432	117580	119581	
138	99770	113432	117580	119581	
139	100882	113432	117580	119581	
140	101979	113432	117580	119581	
141	103256	113432	117580	119581	
142	103376	113432	117580	119581	
143	104198	113432	117580	119581	
144	104502	113432	117580	119581	
145	105163	113432	117580	119581	
146	105471	113432	117580	119581	
147	105754	113432	117580	119581	
148	107349	113432	117580	119581	
149	107462	113432	117580	119581	
