jeu_200_25_8.txt_5_currentSA	jeu_200_25_8.txt_5_bestSA	jeu_200_25_8.txt_5_currentTS	jeu_200_25_8.txt_5_bestTS	jeu_200_25_8.txt_5_currentGrasp	jeu_200_25_8.txt_5_bestGrasp	jeu_200_25_8.txt_5_currentIG	jeu_200_25_8.txt_5_bestIG	
0	-346.84	-346.84	-138.84	-138.84	-200.84	-200.84	-412.84	-412.84	
1	-338.84	-338.84	-112.84	-112.84	37	37	37	37	
2	-338.84	-338.84	-104.84	-104.84	97	97	112	112	
3	-330.84	-330.84	-89.84	-89.84	166	166	259	259	
4	-311.84	-311.84	-89.84	-89.84	241	241	356	356	
5	-311.84	-311.84	-66.84	-66.84	377	377	539	539	
6	-311.84	-311.84	-51.84	-51.84	462	462	623	623	
7	-311.84	-311.84	-50.84	-50.84	548	548	762	762	
8	-311.84	-311.84	-39.84	-39.84	634	634	954	954	
9	-311.84	-311.84	-32.84	-32.84	829	829	1176	1176	
10	-311.84	-311.84	-3.84	-3.84	1004	1004	1346	1346	
11	-311.84	-311.84	-2.84	-2.84	1121	1121	1623	1623	
12	-309.84	-309.84	-2.84	-2.84	1255	1255	2191	2191	
13	-332.84	-309.84	30963	30963	1445	1445	2541	2541	
14	-332.84	-309.84	31796	31796	1656	1656	2949	2949	
15	-294.84	-294.84	32463	32463	1703	1703	3239	3239	
16	-294.84	-294.84	33063	33063	1822	1822	3740	3740	
17	-294.84	-294.84	33661	33661	2170	2170	3905	3905	
18	-294.84	-294.84	34242	34242	2399	2399	4128	4128	
19	-290.84	-290.84	34804	34804	2666	2666	4324	4324	
20	-290.84	-290.84	35351	35351	2838	2838	4776	4776	
21	-290.84	-290.84	35895	35895	3135	3135	5026	5026	
22	-290.84	-290.84	36464	36464	3279	3279	5271	5271	
23	-290.84	-290.84	37001	37001	3440	3440	5521	5521	
24	-290.84	-290.84	37519	37519	3643	3643	5871	5871	
25	-290.84	-290.84	38003	38003	4086	4086	6092	6092	
26	-290.84	-290.84	38486	38486	4264	4264	6375	6375	
27	-290.84	-290.84	38998	38998	4417	4417	6629	6629	
28	-290.84	-290.84	39522	39522	4581	4581	7013	7013	
29	-290.84	-290.84	40065	40065	4893	4893	7448	7448	
30	-290.84	-290.84	40551	40551	5252	5252	7683	7683	
31	-257.84	-257.84	40995	40995	5399	5399	7948	7948	
32	-250.84	-250.84	41195	41195	5579	5579	8386	8386	
33	-281.84	-250.84	41324	41324	6021	6021	8925	8925	
34	-281.84	-250.84	41521	41521	6275	6275	9715	9715	
35	-281.84	-250.84	41712	41712	6626	6626	10098	10098	
36	-277.84	-250.84	41740	41740	7057	7057	10701	10701	
37	-277.84	-250.84	41878	41878	7568	7568	11199	11199	
38	-277.84	-250.84	41910	41910	7869	7869	11773	11773	
39	-277.84	-250.84	41895	41910	8191	8191	12199	12199	
