jeu_100_75_2.txt_5_bestGAPerIt	jeu_100_75_2.txt_5_popMeanGA	jeu_100_75_2.txt_5_offMeanGA	
0	-32.2	-176.383	-157.767	
1	-32.2	-152.217	-144.433	
2	-32.2	-140.267	-131.4	
3	-32.2	-131.4	-130.383	
4	-31.2	-130.383	-119.083	
5	-6.2	-119.083	-104.983	
6	-6.2	-100.767	-90.55	
7	-3.2	-90.55	666.907	
8	24927	666.907	1053.26	
9	24927	1472.15	1882.03	
10	24927	1882.03	2242.47	
11	24927	2242.47	1426.65	
12	24927	1845.23	1784.38	
13	24927	2202.45	2439.12	
14	24927	2858.61	2356.14	
15	24927	2774.44	2946.45	
16	24927	2946.45	7260.39	
17	24927	7678.51	9878.32	
18	24927	10295.3	8600.64	
19	24927	9018.12	9582.58	
20	24927	10000.8	9223.61	
21	24927	9641.13	8937.24	
22	24927	9354.01	10845.8	
23	24927	11263.3	10241.3	
24	24927	10658.2	13267.9	
25	24927	13684.9	13962.9	
26	24927	14379.6	13134.8	
27	24927	13551.8	13464.2	
28	24927	13881.8	14483.8	
29	24927	14901	12895.3	
30	25411	12895.3	8733.27	
31	25411	9158.35	15683.3	
32	25411	16108.4	12115.1	
33	25411	12540.3	13257.9	
34	25411	13682.7	15094.3	
35	25411	15519.5	13629.1	
36	25411	13629.1	13920.1	
37	25580	13920.1	16065.5	
38	25844	16065.5	16171.3	
39	25844	16171.3	15820.5	
40	26219	15820.5	14360.4	
41	26219	14798.6	13892.1	
42	26219	13892.2	14257.6	
43	26219	14696.5	13257	
44	26219	13695.1	15589.2	
45	26522	15589.2	15551.3	
46	26522	15994.5	14702.7	
47	26522	14702.7	15057.9	
48	26522	15057.9	14614.3	
49	26980	14614.3	15319.5	
50	26980	15770.3	15905.5	
51	26980	15905.5	13952.9	
52	27783	13952.9	15620.7	
53	27783	16084.8	16205.8	
54	27783	16669.8	18034.6	
55	27783	18498.7	17277.5	
56	28193	17277.5	18138.6	
57	28193	18138.6	17271.9	
58	28193	17271.9	14296	
59	28282	14296	19466.1	
60	28509	19466.1	19267.7	
61	28509	19267.7	17732.1	
62	28509	17732.1	17024.7	
63	28509	17024.7	17220.1	
64	28509	17220.1	19076.7	
65	28843	19076.7	19238.4	
66	29130	19238.4	17770.3	
67	29411	17770.3	16958.9	
68	29605	16958.9	15217.2	
69	29662	15217.2	18168.2	
70	29673	18168.2	22455.9	
71	29673	22950.9	23078.7	
72	29765	23078.7	22689	
73	29765	23185.9	20101.6	
74	29957	20101.6	21547.3	
75	29957	22047.2	23198	
76	30229	23198	22815.5	
77	30587	22815.5	20467.5	
78	30587	20467.5	22935.4	
79	30587	23445.8	23128.7	
80	30587	23128.7	21845.7	
81	30750	21845.7	19507.4	
82	31217	19507.4	23091.7	
83	31217	23091.7	21643.2	
84	31313	21643.2	19605.5	
85	31446	19605.5	23196.4	
86	31446	23720.9	23222.7	
