jeu_200_25_8.txt_3_currentACO	jeu_200_25_8.txt_3_bestACO	
0	59123	59123	
1	61924	61924	
2	59692	61924	
3	56850	61924	
4	61049	61924	
5	61924	61924	
6	61924	61924	
7	61924	61924	
8	62663	62663	
9	62156	62663	
10	63051	63051	
11	61800	63051	
12	62765	63051	
13	62663	63051	
14	63677	63677	
15	64430	64430	
16	61800	64430	
17	63064	64430	
18	63443	64430	
19	63677	64430	
20	64347	64430	
21	63107	64430	
22	62567	64430	
23	64222	64430	
24	64516	64516	
25	64430	64516	
26	63107	64516	
27	63549	64516	
28	64222	64516	
29	64516	64516	
30	64347	64516	
31	63822	64516	
32	64089	64516	
33	64430	64516	
34	64516	64516	
35	64516	64516	
36	62880	64516	
37	64516	64516	
38	64874	64874	
39	65544	65544	
40	65912	65912	
41	62718	65912	
42	66112	66112	
43	65538	66112	
44	65544	66112	
45	65009	66112	
46	65005	66112	
47	66112	66112	
48	65538	66112	
49	65761	66112	
50	65904	66112	
51	65705	66112	
52	66112	66112	
53	66112	66112	
54	65967	66112	
55	65354	66112	
56	66112	66112	
57	66112	66112	
58	65912	66112	
59	66123	66123	
60	65391	66123	
61	64590	66123	
62	66112	66123	
63	65912	66123	
64	66123	66123	
65	66064	66123	
66	64849	66123	
67	66112	66123	
68	65912	66123	
69	66523	66523	
70	66523	66523	
71	65572	66523	
72	65563	66523	
73	65781	66523	
74	65818	66523	
75	66523	66523	
76	66455	66523	
77	64578	66523	
78	65449	66523	
79	64544	66523	
80	65667	66523	
81	67014	67014	
82	65346	67014	
83	66390	67014	
84	65692	67014	
85	65878	67014	
86	67014	67014	
87	65715	67014	
88	67593	67593	
89	65871	67593	
90	67434	67593	
91	67513	67593	
92	66315	67593	
93	67054	67593	
94	64540	67593	
95	66198	67593	
96	67513	67593	
97	66315	67593	
98	67054	67593	
99	65112	67593	
100	67003	67593	
101	66794	67593	
102	66766	67593	
103	67054	67593	
104	66460	67593	
105	67306	67593	
106	66251	67593	
107	66379	67593	
108	67054	67593	
109	67593	67593	
110	67306	67593	
111	66918	67593	
112	66709	67593	
113	66722	67593	
114	67054	67593	
115	66959	67593	
116	67593	67593	
117	66810	67593	
118	66989	67593	
119	66830	67593	
120	67593	67593	
121	67593	67593	
122	67593	67593	
123	66722	67593	
124	67593	67593	
125	67593	67593	
126	67593	67593	
127	66833	67593	
128	67593	67593	
129	67593	67593	
130	67593	67593	
131	67593	67593	
132	67593	67593	
133	67593	67593	
134	67593	67593	
135	67593	67593	
136	67593	67593	
137	66565	67593	
138	67593	67593	
139	67593	67593	
140	67593	67593	
141	67593	67593	
142	67593	67593	
143	67593	67593	
144	67385	67593	
145	67401	67593	
146	67593	67593	
147	66965	67593	
148	67593	67593	
149	66128	67593	
150	67401	67593	
151	67593	67593	
152	66833	67593	
153	67054	67593	
154	67593	67593	
155	67593	67593	
156	67593	67593	
157	67593	67593	
158	67593	67593	
159	67593	67593	
160	66826	67593	
161	67593	67593	
162	66963	67593	
163	67593	67593	
164	66402	67593	
165	67593	67593	
166	67593	67593	
167	67593	67593	
168	67593	67593	
169	67593	67593	
170	67593	67593	
171	67593	67593	
172	67593	67593	
173	67593	67593	
174	67019	67593	
175	67593	67593	
176	67593	67593	
177	67593	67593	
178	67593	67593	
179	67593	67593	
180	67593	67593	
181	67593	67593	
182	67593	67593	
183	67593	67593	
184	67142	67593	
185	67401	67593	
186	67593	67593	
187	67719	67719	
188	67593	67719	
189	67593	67719	
190	67515	67719	
191	67593	67719	
192	67372	67719	
193	67261	67719	
