jeu_100_75_2.txt_3_currentGA	jeu_100_75_2.txt_3_bestGA	
0	-27.3333	-27.3333	
1	-0.333333	-0.333333	
2	-262.333	-0.333333	
3	-79.3333	-0.333333	
4	-108.333	-0.333333	
5	-59.3333	-0.333333	
6	29699	29699	
7	-190.333	29699	
8	-182.333	29699	
9	-113.333	29699	
10	-83.3333	29699	
11	-76.3333	29699	
12	-78.3333	29699	
13	-92.3333	29699	
14	-158.333	29699	
15	-131.333	29699	
16	38658	38658	
17	-89.3333	38658	
18	35440	38658	
19	-65.3333	38658	
20	33618	38658	
21	-268.333	38658	
22	-60.3333	38658	
23	30743	38658	
24	-13.3333	38658	
25	-186.333	38658	
26	-134.333	38658	
27	-55.3333	38658	
28	-50.3333	38658	
29	33763	38658	
30	-14.3333	38658	
31	-121.333	38658	
32	-59.3333	38658	
33	-71.3333	38658	
34	-113.333	38658	
35	-163.333	38658	
36	-80.3333	38658	
37	-290.333	38658	
38	-96.3333	38658	
39	-78.3333	38658	
40	28332	38658	
41	-151.333	38658	
42	-43.3333	38658	
43	-127.333	38658	
44	-244.333	38658	
45	-94.3333	38658	
46	30622	38658	
47	-325.333	38658	
48	-19.3333	38658	
49	-91.3333	38658	
50	-175.333	38658	
51	-12.3333	38658	
52	-278.333	38658	
53	-222.333	38658	
54	-11.3333	38658	
55	-140.333	38658	
56	-92.3333	38658	
57	-128.333	38658	
58	-12.3333	38658	
59	-95.3333	38658	
60	34701	38658	
61	-58.3333	38658	
62	34157	38658	
63	30838	38658	
64	-176.333	38658	
65	34883	38658	
66	-107.333	38658	
67	-57.3333	38658	
68	30864	38658	
69	-112.333	38658	
70	-114.333	38658	
71	29526	38658	
72	-36.3333	38658	
73	35310	38658	
74	-21.3333	38658	
75	-147.333	38658	
76	-146.333	38658	
77	-62.3333	38658	
78	-140.333	38658	
79	34503	38658	
80	-13.3333	38658	
81	35409	38658	
82	-5.33333	38658	
83	-86.3333	38658	
84	-9.33333	38658	
85	-190.333	38658	
86	-59.3333	38658	
87	-4.33333	38658	
88	38513	38658	
89	-106.333	38658	
90	39041	39041	
91	-272.333	39041	
92	-159.333	39041	
93	26020	39041	
94	-45.3333	39041	
95	-0.333333	39041	
96	-84.3333	39041	
97	-92.3333	39041	
98	29575	39041	
99	-71.3333	39041	
100	31650	39041	
101	-116.333	39041	
102	-20.3333	39041	
103	-52.3333	39041	
104	-91.3333	39041	
105	-119.333	39041	
106	28773	39041	
107	-55.3333	39041	
108	-131.333	39041	
109	-175.333	39041	
110	-98.3333	39041	
111	-38.3333	39041	
112	-69.3333	39041	
113	-0.333333	39041	
114	-52.3333	39041	
115	32512	39041	
116	30938	39041	
117	-168.333	39041	
118	-107.333	39041	
119	-72.3333	39041	
120	-152.333	39041	
121	-99.3333	39041	
122	-5.33333	39041	
123	35049	39041	
124	-78.3333	39041	
125	-125.333	39041	
126	26518	39041	
127	-73.3333	39041	
128	-158.333	39041	
129	-53.3333	39041	
130	33353	39041	
131	-111.333	39041	
132	-101.333	39041	
133	-45.3333	39041	
134	-30.3333	39041	
135	-100.333	39041	
136	32172	39041	
137	-19.3333	39041	
138	-28.3333	39041	
139	-67.3333	39041	
140	-27.3333	39041	
141	34883	39041	
142	-25.3333	39041	
143	-4.33333	39041	
144	29413	39041	
145	-64.3333	39041	
146	28328	39041	
147	28167	39041	
148	-56.3333	39041	
149	30390	39041	
150	-44.3333	39041	
151	34292	39041	
152	-129.333	39041	
153	35184	39041	
154	-58.3333	39041	
155	34402	39041	
156	-32.3333	39041	
157	-122.333	39041	
158	-37.3333	39041	
159	-272.333	39041	
160	-239.333	39041	
161	32165	39041	
162	-155.333	39041	
163	-56.3333	39041	
164	-21.3333	39041	
165	-78.3333	39041	
166	-29.3333	39041	
167	-21.3333	39041	
168	-9.33333	39041	
169	31777	39041	
170	28987	39041	
171	35161	39041	
172	-0.333333	39041	
173	24890	39041	
174	28328	39041	
175	-142.333	39041	
176	-31.3333	39041	
177	-178.333	39041	
178	-96.3333	39041	
179	32924	39041	
180	-76.3333	39041	
181	-75.3333	39041	
182	39293	39293	
183	-2.33333	39293	
184	-53.3333	39293	
185	-57.3333	39293	
186	34838	39293	
187	-13.3333	39293	
188	-74.3333	39293	
189	28876	39293	
190	39039	39293	
191	30603	39293	
192	-64.3333	39293	
193	-47.3333	39293	
194	-41.3333	39293	
195	-113.333	39293	
196	-42.3333	39293	
197	-23.3333	39293	
198	31838	39293	
199	36894	39293	
200	-25.3333	39293	
201	28327	39293	
202	-107.333	39293	
203	-17.3333	39293	
204	32964	39293	
205	33451	39293	
206	33353	39293	
